Project_ID,Project_Name,Country,City,Contractor_Name,Equipment_ID,Equipment_Type,Usage_Hours,Downtime_Hours,Maintenance_Status,Material_Type,Quantity_Used,Unit_Cost,Supplier_Name,Project_Budget,Actual_Cost,Currency,Payment_Status,Start_Date,End_Date,Actual_Completion_Date,Delay_Days
NGA-0585,Benin City Flyover Phase,Nigeria,Abuja,Build Rite Contractors,,Loader,179.0,48.1,service-needed,Steel,105.06 tons,147630.14,Nile Quarrys,6994884.59,7213734.22,USD ,partial,27-Sep-2023,2023-10-29,07-Nov-2023,9
ZAF10586,Polokwane Industrial Estate,South Africa,Pretoria,SAHARA BUILD COMPANY,EQ-6924,Grader,-47.1,52.9,OK,Limestone,310 bags,1263926.28,Nile Quarrys,,26376332.14,NGN,partial,23-Mar-2026,2027/01/28 00:00,22/03/2027,53
GHA_10587,Tamale Waterline Project,Ghana,Tema,Deltacore Buildrs,EQ-1178,Excavator,120.2,43.0,Needs Repair,Gravel,309 bags,"1,106,388",WestStone Material,121204.57,87665.82,NGN,delayed,13-Mar-2024,2025/05/19 00:00,04/27/25,-22
NGA 10588,Abuja Civic Centre Works,Nigeria,Kano,Sahara Build Co,EQ-4470,Grader,86.8,47.4,Needs Repair,Limestone,230.24 tons,2201576.27,Terramix Logistcs,2118604.27,2587253.4,usd,PARTIAL,10/18/25,08/21/26,07/31/26,-21
ZAF 10589,Durban Freight Corridor,South Africa,Bloemfontein,Kubwa Engr,,Grader,181.3,70.3,Needs Repair,Cement,365 bags,1273958.01,Cemex Supplies,13382842.52,18428408.1,kes,Paid,2024-02-11,12/22/24,2025/01/02 00:00,11
ZAF-10590,Johannesburg Transit Upgrade,South Africa,Port Elizabeth,Prime Span Africa,EQ-4468,Grader,214.8,8.3,needs repair,Cement,230.0 tons,1931767.0,Terramix Logistcs,365828.94,325326.03,ZAR,Delayed,04/03/25,2025-06-13,08/05/26,418
ZAF_10591,JOHANNESBURG TRANSIT UPGRADE,South Africa,Bloemfontein,Build Rite Contractors,EQ-9445,Excavator,34.8,31.2,running,Cement,314 bags,"USD 60,573.88",Terramix Logistcs,1546959.74,1134703.24,NGN,Paid,2025-10-13,11/10/25,2025-11-12,2
NGA-10592,Port Harcourt Port Link,Nigeria,Port Harcourt,Ubora Constructions,EQ-1960,Excavator,-42.2,17.6,BAD,Cement,264 bags,"USD 179,498.21",Cape Build Mart,,1203164.24,KES,Delayed,2025/02/08 00:00,2026/06/20 00:00,2026/08/23 00:00,64
KEN10593,Mombasa Port Access Road,Kenya,Machakos,Deltacore Buildrs,EQ-7083,Excavator,118.7,75.7,service-needed,Steel,345382kg,2789756.25,West Stone Materials,1779862.68,2376931.73,GHS,delayed,2023/01/25 00:00,2023-07-05,2023-11-11,129
GHA-0594,Ho Market Redevelopment,Ghana,Ho,Kubwa Engineering,EQ-9907,Crane,156.1,27.5,needs repair,Steel,293 bags,1998508.32,Lagos Industrial Supply,5936931.29,5261089.29,KES,PENDING,2025-10-26,30/01/2026,23/05/2026,113
KEN/10595,Mombasa Port Access Road,Kenya,Thika,Kentech Engineering,EQ-6051,Crane,232.6,17.6,OK,Gravel,448.42 tons,"USD 169,528.29",Terramix Logistcs,25224.87,31319.1,GHS,,12/10/2024,05/03/2025,07/04/2025,33
GHA/10596,Takoradi Logistics Yard,Ghana,Ho,KENTECH ENG,EQ-8601,Loader,174.5,53.7,ok,Limestone,180.84 tons,3705.23,WestStone Materials,9666604.96,11778357.2,KES,paid,2023/05/31 00:00,29-Aug-2023,08/02/2024,163
GHA 10597,Cape Coast Housing Scheme,Ghana,Cape Coast,Apex Infrastucture,EQ-1287,Loader,83.6,34.6,BAD,Steel,110916kg,"GHS 612,859.80",Lagos Ind. Supply,26052716.91,35627038.28,GHS,PENDING,2024/11/18 00:00,2025/12/16 00:00,2026-03-28,102
ZAF 10598,Port Elizabeth Harbour Road,South Africa,Bloemfontein,Nylestone Construction,EQ-4591,Loader,841.5,19.9,Needs Repair,Gravel,23 bags,3470764.44,Cape Build Mart,876876.56,1179079.0,USD,Pending,14/08/2024,2025/12/09 00:00,16/05/2026,158
GHA/10599,Kumasi Interchange Works,Ghana,Cape Coast,Apex Infrastructure,EQ-5837,Bulldozer,5.2,1.5,Needs Repair,Steel,230 bags,1636825.77,Cemex Supply,6055353.23,6689037.06,USD,delayed,2023/12/04 00:00,04-Dec-2024,2025/02/13 00:00,71
NGA-0482,Kano Industrial Road,Nigeria,Kano,Kubwa Engr,,Grader,229.0,47.9,service due,Steel,399 bags,"USD 2,295.48",African Steels Trading,1428212.61,1518793.16,KES,partial,2023/04/10 00:00,17-Jul-2024,,30
GHA10601,Tema Container Road,Ghana,Ho,DeltaCore Builders,EQ-8492,Excavator,64.9,54.1,BAD,Steel,354994kg,116063.7,Savanna Aggregates,23711972.17,32167613.34,KES,Delayed,15/02/2023,2023/09/18 00:00,10/15/23,0
KEN/10602,Nairobi Ring Road Expansion,Kenya,Nakuru,Kentech Engineering,EQ-8169,Grader,238.8,63.6,service due,Sand,35 bags,320228.99,Savanna Aggregates,33763922.04,42803510.71,ZAR,Paid,2025-09-22,03/05/27,07/26/27,143
GHA_10603,ACCRA COASTAL BYPASS,Ghana,Tamale,Kentech Engineering,EQ-3575,Crane,153.9,67.6,service-needed,Steel,163873kg,1357095.83,Kilimanjaro Cement,27731216.96,39531268.05,ZAR,paid,29/08/2024,2025/05/18 00:00,28/04/2025,-20
NGA_10604,Abuja Civic Centre Works,Nigeria,Lagos,Ubora Construction,EQ-1791,Excavator,138.6,73.5,OK,Cement,148.85 tons,15226493.2,WestStone Material,"KES 33,352,886",34778175.4,USD,paid,2023-09-30,01/12/24,01/05/24,-7
NGA-0081,Ibadan Drainage Expansion,Nigeria,Calabar,Mara Civil Works,EQ-1976,Crane,188.9,52.5,BAD,Limestone,13 bags,"NGN 4,359,322.76",Afri Steel Traders,452296.19,647935.78,GHS,Pending,28/08/2023,27/10/2023,2023/10/22 00:00,-5
KEN_10606,nakuru junction upgrade,Kenya,Thika,Sahara Build Company,EQ-3312,Bulldozer,193.8,15.1,bad,Gravel,394992kg,"KES 2,711,930.57",Nile Quarries,203683783.5,157219263.72,usd,delayed,23/02/2025,10/01/25,12/03/2026,-45
ZAF10607,Port Elizabeth Harbour Road,South Africa,Cape Town,Sahara Build Company,EQ-5891,Loader,100.4,58.5,needs repair,Cement,266 bags,782491.05,Afri Steel Traders,1334533.66,1557004.31,ZAR,PENDING,2025-03-31,20/07/2025,12-Dec-2025,145
ZAF10608,Polokwane Industrial Estate,South Africa,Johannesburg,Apex Infrastucture,EQ-5190,Grader,182.7,12.0,BAD,Cement,5.4 tons,22893.23,Cape Build Mart,7989796.55,12957023.65,USD,paid,01/11/2024,25/01/2026,05/24/26,119
GHA-0609,Accra Coastal Bypass,Ghana,Tamale,Build Rite Contractors,EQ-2555,Excavator,66.2,0.1,SERVICED,Sand,422 bags,131781.19,Nile Quarries,14283105.22,14493567.23,ngn,Delayed,2023/04/16 00:00,10/26/23,2024-02-05,15
GHA/10610,Tamale Waterline Project,Ghana,Takoradi,BuildRight Contractors,EQ1388,Grader,81.7,67.9,BAD,Gravel,68 bags,2321949.58,Lagos Ind. Supply,45421801.14,55739452.44,NGN,paid,03-Jan-2026,2026/03/04 00:00,22-Jul-2026,140
ZAF-0449,Tema Container Road,Ghana,Takoradi,Apex Infrastucture,EQ-2031,Crane,1593.1,67.7,needs repair,Cement,370700kg,"GHS 605,289.25",Cape Build Mart,32959263.84,39832916.5,ZAR,partial,12-Nov-2024,28-Apr-2026,04/28/26,0
ZAF10612,Port Elizabeth Harbour Road,South Africa,Port Elizabeth,Sahara Build Co,EQ7828,Excavator,56.6,25.5,degraded,Sand,92.76 tons,2523791.1,Cape Build Mart,18209744.88,17722977.69,ngn,PENDING,16-Jun-2023,25/09/2024,11/12/24,48
NGA 10613,Abuja Civic Centre Works,Nigeria,Port Harcourt,Build Rite Contractors,EQ-5692,Crane,34.4,59.4,Needs Repair,Gravel,78810kg,8624726.62,Cape Buildmart,2738333.45,1990243.31,USD,partial,2025/04/23 00:00,12/06/2025,2025-11-22,163
KEN10614,Kisumu Waterfront Rehab,Kenya,Machakos,Build Rite Contractors,EQ-7494,Grader,31.7,76.8, needs repair,Sand,149 bags,198124.26,African Steel Traders,37116883.75,42070000.92,NGN,PENDING,2025/10/27 00:00,2026/07/09 00:00,04/09/2026,57
KEN/10615,Kisumu Waterfront Rehab,Kenya,Nakuru,Kentech Eng,EQ-4212,Excavator,123.8,731.6,running,Sand,45323kg,46615.95,Kilimanjaro Cement,21553325.33,31607481.68,KES,Paid,2023/12/01 00:00,05/02/25,2025-09-02,123
NGA-10616,Benin City Flyover Phase,Nigeria,Kano,KENTECH ENG,,Crane,240+,6.6, needs repair,Cement,135120kg,"3,085,655",Nile Quarrys,179285573.26,198083308.94,ghs,Paid,2025-09-26,05/24/26,2026/08/14 00:00,82
GHA_10617,takoradi logistics yard,Ghana,Cape Coast,Ubora Construction,EQ-3901,Bulldozer,76.6,2.3,ok,Limestone,115308kg,501622.15,Lagos Industrial Supply,3203249.0,3242676.73,ZAR,partial,2026/02/17 00:00,04-Aug-2026,19-Dec-2026,137
ZAF10618,Bloemfontein Utilities Upgrade,South Africa,Polokwane,BuildRight Contractors,EQ-8843,Excavator,49.2,71.0,degraded,Steel,185435kg,4151537.99,WestStone Material,76576212.56,102987221.61,ZAR,Paid,04/30/23,11/19/23,2024-01-30,15
ZAF/10619,Port Elizabeth Harbour Road,South Africa,Cape Town,Prime Span Africa,EQ-6289,Grader,30.8,,OK,Cement,323151kg,"USD 33,114.53",Nile Quarrys,20471333.74,17625255.45,KES,pending,29-Dec-2023,05/30/24,03-Nov-2024,N/A
ZAF_10620,Durban Freight Corridor,South Africa,Bloemfontein,Ubora Construction,EQ-5447,Bulldozer,182.4,28.0,OK,Limestone,305.28 tons,"ZAR 3,365,974.22",Savanna Aggregate,444711.94,569373.63,KES,Paid,14-May-2023,2023-08-01,08/11/23,10
NGA_10621,Ibadan Drainage Expansion,Nigeria,Enugu,Ubora Constructions,EQ-9853,Crane,911.8,18.4,BAD,Limestone,163743kg,183958.77,Kilimanjaro Cment,19326119.98,17886894.24,ZAR,Pending,14-Jan-2025,06/02/2025,01/13/25,-24
GHA-0622,Cape Coast Housing Scheme,Ghana,Kumasi,Prime Span Africa,EQ-8931,Bulldozer,173.2,59.1,ok,Gravel,309.47 tons,1322441.27,Cape Buildmart,56940492.32,83449109.36,NGN,Partial,16-Jan-2023,2023/06/24 00:00,2023/10/22 00:00,120
KEN_10623,Mombasa Port Access Road,Kenya,Nakuru,Kubwa Engr,,Crane,210.3,28.8,Needs Repair,Limestone,124978kg,2749770.01,Savanna Aggregate,42613689.72,54258677.13,KES,Paid,2024-12-18,18/07/2025,2025-07-11,-7
KEN 10624,Machakos Estate Infrastructure,Kenya,Eldoret,Prime Span Africa,,Excavator,78.2,72.3,BAD,Gravel,238284kg,2232967.14,WestStone Materials,29088236.66,36641000.31,USD,PARTIAL,07/03/23,11/21/23,2023/12/24 00:00,33
KEN-0625,Nakuru Junction Upgrade,Kenya,Kisumu,Ubora Construction,EQ-2765,Bulldozer,236.5,30.4,Needs Repair,Steel,163.49 tons,"2,953,686",cape buildmart,22287478.69,29471401.71,ZAR,Pending,13/01/2024,2024/03/28 00:00,27/06/2024,91
KEN10626,Thika Bridge Works,Kenya,Nakuru,Kentech Eng,EQ-4627,Grader,69.8,1.3,running,Steel,87 bags,110714.09,SAVANNA AGGREGATES,21813083.63,16524032.36,ghs,PARTIAL,04/29/24,2025-05-18,23/09/2025,128
KEN 10627,Nakuru Junction Upgrade,Kenya,Mombasa,Apex Infrastucture,EQ6167,Excavator,183.1,77.3,running,Limestone,414 bags,2807112.68,Afri Steel Traders,27394724.48,21679666.83,ZAR,Paid,15/11/2025,2026-04-17,10-Sep-2026,146
NGA-0628,KANO INDUSTRIAL ROAD,Nigeria,Port Harcourt,Kubwa Engr,,Excavator,135.7,46.6,bad,Sand,384.35 tons,"917,313",Lagos Ind. Supply,21848402.04,21692900.77,ZAR,Pending,08-May-2023,2024/09/04 00:00,12/24/24,111
KEN-10629,Nairobi Ring Road Expansion,Kenya,Nakuru,PrimeSpan Africa,EQ-7762,Bulldozer,195.7,44.9,Needs Repair,Cement,171.63 tons,2991386.6,African Steels Trading,1612488.01,1319147.14,NGN,Paid,2023/07/31 00:00,2024-05-31,18-Sep-2024,110
ZAF-0630,Bloemfontein Utilities Upgrade,South Africa,Polokwane,Mara Civil Wroks,EQ-2074,Excavator,116.7,35.8,SERVICED,Gravel,173.5 tons,1230612.1,Cape Build Mart,118782610.53,143639120.61,NGN,partial,2023-01-27,2023/06/04 00:00,2023/10/14 00:00,132
GHA 10631,Cape Coast Housing Scheme,Ghana,Tema,Build Rite Contractors,EQ-5370,Crane,1467.6,75.2,service due,Gravel,313133kg,109103.44,African Steel Traders,6548267.92,5676435.61,ZAR,PARTIAL,2024/06/27 00:00,2024/11/18 00:00,2025/03/25 00:00,127
NGA-0632,Enugu Housing Spine,Nigeria,Benin City,Apex Infrastucture,,Bulldozer,121.1,28.5,BAD,Sand,,"NGN 14,094,718.28",TerraMix Logistics,7686655.9,7686655.9,USD,pending,05/11/2024,2025-06-12,11/07/25,148
KEN_10633,kisumu waterfront rehab,Kenya,Nairobi,PrimeSpan Africa,EQ-2884,Crane,47.8,70.5,OK,Gravel,70 bags,83897.97,Nile Quarrys,2116218.63,2141729.82,USD,delayed,06/08/2024,16/09/2025,07/06/26,293
KEN/10634,Thika Bridge Works,Kenya,Eldoret,PrimeSpan Africa,EQ-2075,Grader,89.6,71.1,bad,Gravel,many,1974298.6,Savanna Aggregate,23400534.39,19196123.51,ghs,PARTIAL,2023-01-21,2024/07/09 00:00,06/23/24,-16
ZAF 10635,Cape Town Coastal Works,South Africa,Port Elizabeth,Mara Civil Wroks,EQ-7210,Bulldozer,1071.2,75.3,BAD,Sand,335226kg,"USD 151,089.06",WestStone Materials,126689827.62,133157182.15,GHS,delayed,2026-02-23,14-Mar-2027,17-Mar-2027,3
NGA/10636,Port Harcourt Port Link,Nigeria,Ibadan,Kentech Eng,,Grader,-69.7,60.9,BAD,Limestone,109 bags,90814.01,Kilimanjaro Cment,3417518.02,5355173.63,NGN,in dispute,21/02/2024,2025-06-17,11/21/25,157
GHA_10637,Cape Coast Housing Scheme,Ghana,Sunyani,Sahara Build Co,,Crane,89.4,11.4,OK,Steel,349 bags,error,WestStone Materials,13470387.33,16251731.17,ZAR,Delayed,31-Aug-2024,01-Nov-2024,17/10/2024,-15
GHA-10638,Cape Coast Housing Scheme,Ghana,Tema,Kubwa Engr,,Bulldozer,130.4,46.5,running,Steel,159453kg,1133190.64,West Stone Materials,37514561.67,47631521.12,KES,partial,03/05/2025,2026-07-22,17/07/2026,-5
NGA_10639,Kano Industrial Road,Nigeria,Abuja,Nylestone Construction,EQ-4044,Crane,42.7,62.7,service due,Limestone,12 bags,13036795.25,Afri Steel Traders,678229.71,816190.11,NGN,Delayed,19-Sep-2024,19/12/2024,22-Nov-2024,-27
KEN 10640,Kisumu Waterfront Rehab,Kenya,Kisumu,Ubora Constructions,EQ-5403,Excavator,82.6,16.4,SERVICE DUE,Cement,271.03 tons,778854.83,African Steel Traders,"NGN 46,170,541",37581876.07,NGN,PARTIAL,24-Mar-2024,09/05/25,2026-08-22,351
KEN-10641,nakuru junction upgrade,Kenya,Nakuru,NileStone Construction,,Loader,49.9,70.6,SERVICED,Steel,242 bags,"KES 165,218.70",West Stone Materials,67759282.79,74494116.53,KES,Pending,2025-09-07,2026-12-30,20/02/2027,52
ZAF10642,Pretoria Civic Build,South Africa,Bloemfontein,Apex Infrastructure,EQ-7877,Crane,154.1,53.1, needs repair,Sand,321524kg,"zar 3,665,690.09",TerraMix Logistics,14761051.38,18667067.11,ngn,on hold,31/05/2024,2025-10-05,26-Feb-2026,144
GHA_10643,Takoradi Logistics Yard,Ghana,Tema,Mara Civil Works,EQ-5063,Grader,30.8,50.5,BAD,Sand,90242kg,133926.41,African Steels Trading,136946641.78,202961066.73,ZAR,paid,2024/09/11 00:00,22-Apr-2025,,-15
GHA-0130,Kisumu Waterfront Rehab,Kenya,Kisumu,Kentech Eng,EQ-9146,Loader,151.8,10.0,service due,Gravel,177.25 tons,unknown,Lagos Ind. Supply,30572484.66,38178981.14,USD,Delayed,09/17/23,10/23/23,,-15
NGA-10645,Port Harcourt Port Link,Nigeria,Ibadan,Kentech Eng,EQ-6074,Bulldozer,8.5,48.4,service due,Sand,337.02 tons,109724.81,West Stone Materials,74076691.53,176407850.2,KES,partial,25/06/2025,12-Apr-2026,05/21/26,39
GHA-10646,Tamale Waterline Project,Ghana,Takoradi,PrimeSpan Africa,EQ-6708,Loader,229.5,67.5,RUNNING,Cement,47.16 tons,115946.65,Cape Build Mart,38137933.42,55494995.61,USD,Paid,15-Mar-2026,03/13/27,09/09/2027,0
ZAF_10647,Durban Freight Corridor,South Africa,Durban,DeltaCore Builders,EQ-5998,Crane,-36.5,18.1,BAD,Gravel,158.87 tons,38866.37,Kilimanjaro Cement,14550635.8,21128909.6,NGN,partial,05/01/2026,2027/06/27 00:00,2027/11/27 00:00,153
NGA10648,jos regional access road,Nigeria,Calabar,Kubwa Engineering,EQ-9706,Crane,206.9,42.6,NEEDS REPAIR,Sand,133 bags,1731388.78,Kilimanjaro Cement,28381544.99,38066088.0,kes,Pending,06-Jul-2024,2025/10/28 00:00,11-Apr-2026,165
ZAF-0649,Port Elizabeth Harbour Road,South Africa,Cape Town,Apex Infrastructure,EQ-9034,Grader,89.0,31.2,running,Cement,263822kg,178830.71,Cemex Spply,23434890.91,22022930.48,USD,,2023-04-18,01-Feb-2024,20-Jul-2024,170
ZAF_10650,Johannesburg Transit Upgrade,South Africa,Port Elizabeth,Mara Civil Works,EQ-4965,Excavator,186.9,62.5,ok,Sand,249 bags,2374155.17,Nile Quarrys,182405628.16,232491159.78,GHS,PARTIAL,2023/07/10 00:00,2024/10/25 00:00,02/04/2025,159
ZAF-0651,Bloemfontein Utilities Upgrade,South Africa,Cape Town,DeltaCore Builders,EQ-7877,Crane,66.4,6.1,degraded,Limestone,294145kg,167529.56,WestStone Material,45936856.32,40141643.9,GHS,Delayed,02/22/24,07/10/2024,10-Sep-2024,-27
GHA/10652,Ho Market Redevelopment,Ghana,Cape Coast,Apex Infrastructure,EQ3912,Loader,238.2,57.0,running,Steel,11053kg,372248.46,Savanna Aggregates,"KES 27,421,629",32887975.4,USD,Pending,12/11/2023,07/12/24,07/13/24,1
ZAF10346,Enugu Housing Spine,Nigeria,Calabar,Deltacore Buildrs,,Excavator,1414.6,44.7,running,Sand,299 bags,101158.52,Lagos Industrial Supply,84916099.47,89853101.46,GHS,Pending,19/04/2024,2025-02-24,06/14/25,110
KEN/10096,Nairobi Ring Road Expansion,Kenya,Mombasa,PrimeSpan Africa,EQ-6750,Loader,179.0,46.1,service due,Sand,297042kg,"USD 162,466.37",Cape Build Mart,39682313.17,59756926.0,GHS ,partial,2025-09-10,16-Oct-2025,,0
ZAF-0287,Ho Market Redevelopment,Ghana,Cape Coast,Kentech Engineering,EQ-1450,Loader,150.2,62.0,running,Cement,99.84 tons,1332194.33,WestStone Material,1568815.91,2315085.39,NGN,Pending,2025/09/19 00:00,04-Oct-2026,2026-12-24,81
KEN/10656,Nakuru Junction Upgrade,Kenya,Nairobi,Apex Infrastructure,,Crane,70.3,20.6,ok,Cement,372836kg,2213691.84,Cemex Supply,501886.54,399018.71,KES,Partial,2024-05-19,2025/04/23 00:00,24-May-2025,31
KEN/10657,Mombasa Port Access Road,Kenya,Eldoret,Apex Infra Ltd,EQ-7249,Crane,213.0,7.5,service due,Gravel,321418kg,2768083.95,Kilimanjaro Cement,42471244.31,30778903.75,KES,Pending,29-Aug-2023,08/28/24,15-Feb-2025,0
NGA10658,PORT HARCOURT PORT LINK,Nigeria,Port Harcourt,Nylestone Construction,EQ-2511,Bulldozer,192.9,73.1,ok,Steel,131.24 tons,"627,134",Afri Steel Traders,1014172.28,1432566.14,zar,paid,17-Jun-2024,15-Dec-2024,2025-04-29,135
NGA_10659,Abuja Civic Centre Works,Nigeria,Jos,DeltaCore Builders,EQ-2520,Excavator,81.8,58.8,degraded,Sand,many,12037793.66,Savanna Aggregates,529587.3,704250.54,GHS,Paid,2024-10-13,08/07/25,17/12/2025,132
ZAF 10660,Port Elizabeth Harbour Road,South Africa,Johannesburg,Prime Span Africa,,Bulldozer,182.2,49.1,service-needed,Limestone,306.81 tons,132411.31,African Steels Trading,34192123.57,31404282.09,GHS,delayed,29/03/2024,11-May-2025,2025/06/24 00:00,44
KEN_10661,Nairobi Ring Road Expansion,Kenya,Kisumu,SAHARA BUILD CO,EQ-2736,Bulldozer,139.8,578.5,service due,Sand,446845kg,"KES 2,887,289.71",WestStone Materials,48460261.45,75018853.19,ZAR,PENDING,09/06/25,2026-06-27,08/16/26,50
KEN 10662,Thika Bridge Works,Kenya,Mombasa,Apex Infrastucture,EQ-8583,Bulldozer,179.7,48.3,ok,Gravel,377.88 tons,"2,518,444",African Steel Traders,6408143.34,5188463.12,GHS ,Paid,03/06/24,01/04/2025,07/13/25,103
KEN 10663,Nakuru Junction Upgrade,Kenya,Machakos,DeltaCore Builders,EQ6707,Loader,80.6,16.2,needs repair,Limestone,364 bags,2106041.58,Cemex Supplies,5966282.14,8328092.42,GHS,Pending,2023/11/12 00:00,2024-08-20,04-Oct-2024,45
NGA-0007,Kano Industrial Road,Nigeria,Abuja,Mara Civil Wroks,EQ-9704,Crane,156.0,46.7,service due,Gravel,102 bags,88338.67,Nile Quarrys,4556051.75,6248982.23,ghs,paid,19/08/2025,02-Jun-2026,13-Oct-2026,133
GHA10665,Tamale Waterline Project,Ghana,Accra,Apex Infra Ltd,EQ-1857,Bulldozer,177.4,14.8,Needs Repair,Steel,389.1 tons,541949.48,Lagos Ind. Supply,46715776.32,36383954.89,KES,paid,05/11/2023,2024/08/07 00:00,,0
GHA10666,TAKORADI LOGISTICS YARD,Ghana,Kumasi,Mara Civil Works,EQ-2485,Loader,46.7,35.2,SERVICE DUE,Limestone,297.63 tons,38623.12,Cape Build Mart,26922087.21,26922087.21,USD,PENDING,01-Feb-2026,2026-04-22,09/09/2026,140
GHA_10667,Ho Market Redevelopment,Ghana,Takoradi,Mara Civil Wroks,EQ-2056,Bulldozer,93.7,10.3,Needs Repair,Sand,38.93 tons,"GHS 223,864.11",Lagos Industrial Supply,13544952.74,17224612.71,USD,PARTIAL,2023-07-01,10/01/24,,12
ZAF 10668,PRETORIA CIVIC BUILD,South Africa,Port Elizabeth,NileStone Construction,EQ-6889,Loader,154.2,77.0,bad,Steel,350.74 tons,3456971.37,Savanna Aggregate,141967453.78,141967453.78,USD,Paid,01/06/23,06-May-2024,2024/09/11 00:00,120
GHA-10669,Tamale Waterline Project,Ghana,Cape Coast,Sahara Build Co,EQ-9838,Loader,99.4,48.0,ok ,Steel,99 bags,2286179.76,Cemex Spply,unknown,29716258.57,GHS,paid,2023-04-15,2023/05/28 00:00,10/17/23,142
KEN10670,Nairobi Ring Road Expansion,Kenya,Thika,Apex Infra Ltd,EQ-8682,Excavator,43.1,77.2,ok,Sand,33 bags,3074046.76,WestStone Material,1773293.39,2172355.12,USD,PARTIAL,11-Mar-2026,21-Apr-2026,07/09/26,79
GHA 10671,Tamale Waterline Project,Ghana,Takoradi,Kubwa Engineering,EQ-7722,Crane,215.7,37.1,BAD,Steel,220.7 tons,402861.18,Lagos Ind. Supply,12602497.67,14532109.79,ZAR,Pending,18-Jun-2023,22/08/2023,2024/01/21 00:00,152
GHA 10413,Mombasa Port Access Rd,Kenya,Thika,Apex Infrastucture,EQ-9534,Grader,34.5,1.8,SERVICED,Sand,164639kg,52317.03,West Stone Materials,211739804.92,180092727.95,USD,paid,2025-05-02,04-Nov-2025,2026-02-03,91
GHA/10673,Sunyani District Road,Ghana,Kumasi,Sahara Build Company,,Grader,52.5,,BAD,Sand,395.19 tons,372182.07,CAPE BUILDMART,27966858.5,21075903.7,GHS,partial,08/01/2024,02/04/24,2024/08/02 00:00,-10
ZAF-10674,Durban Freight Corridor,South Africa,Polokwane,Apex Infra Ltd,,Loader,183.6,21.4,service due,Cement,322031kg,2159341.24,African Steels Trading,unknown,120888766.42,NGN,Pending,28/03/2024,18-Jul-2025,07/11/2025,112
ZAF-10675,Durban Freight Corridor,South Africa,Bloemfontein,Kentech Engineering,EQ-8825,Bulldozer,77.7,,BAD,Limestone,277 bags,3359502.7,Nile Quarries,87115066.56,88208484.83,NGN,Delayed,2023/01/01 00:00,05/04/23,21-Jun-2023,48
ZAF 10676,Polokwane Industrial Estate,South Africa,Johannesburg,Kubwa Engr,EQ-5812,Loader,222.6,51.0,Needs Repair,Sand,138.08 tons,2228077.18,African Steels Trading,14459503.39,21503865.41,KES,Pending,2025/07/26 00:00,2025-11-29,17-Apr-2026,139
ZAF_10677,Johannesburg Transit Upgrade,South Africa,Durban,Ubora Construction,EQ-8134,Bulldozer,42.7,13.3,service due,Gravel,379.69 tons,1282951.34,Kilimanjaro Cement,7193132.16,8070274.16,KES,Paid,09-Feb-2024,22/05/2025,09/19/25,120
KEN 10678,Kisumu Waterfront Rehab,Kenya,Eldoret,NileStone Construction,EQ-9227,Bulldozer,167.6,,service due,Gravel,,"18,210",lagos ind. supply,26566513.87,40181680.49,KES,paid,05/03/25,06/15/26,2026/05/07 00:00,-39
ZAF 10679,Johannesburg Transit Upgrade,South Africa,Bloemfontein,Apex Infra Ltd,EQ-6854,Excavator,205.3,68.8,Needs Repair,Limestone,188.54 tons,3708206.66,TerraMix Logistics,18779115.89,19271968.71,NGN,PENDING,22-Nov-2025,06/22/26,08/08/2026,47
ZAF 10680,Port Elizabeth Harbour Road,South Africa,Johannesburg,Apex Infra Ltd,EQ-3626,Excavator,69.9,344.7,BAD,Cement,363610kg,1221507.93,Cape Buildmart,15891614.14,24323555.19,NGN,partial,12/12/25,07/21/26,2026-07-02,-19
NGA-0681,Kano Industrial Road,Nigeria,Kano,Kubwa Engr,EQ-8547,Loader,233.1,5.5,BAD,Cement,137.33 tons,4903965.51,Savanna Aggregates,"ZAR 27,891,614",31959268.1,KES,partial,27-Feb-2025,17-Dec-2025,2026/03/31 00:00,104
GHA-0682,Accra Coastal Bypass,Ghana,Tamale,Mara Civil Works,EQ-8182,Excavator,106.8,3.7,service due,Sand,128.48 tons,815515.41,Cape Build Mart,207446432.49,202306359.01,usd,PENDING,05/28/23,2024/06/08 00:00,18-May-2024,-21
KEN/10683,Nakuru Junction Upgrade,Kenya,Nakuru,BuildRight Contractors,EQ-7535,Grader,203.9,15.8,SERVICED,Steel,397540kg,error,WestStone Material,"GHS 6,624,745",9694810.65,NGN,partial,03/09/2025,12/09/26,2027-04-20,132
GHA 10684,Tamale Waterline Project,Ghana,Ho,Kentech Eng,EQ4575,Crane,124.1,54.8,bad ,Steel,350957kg,2288128.21,Cemex Supply,19893499.88,20759887.9,ZAR,delayed,2024-01-18,2024-05-25,20-Jun-2024,120
ZAF10685,Pretoria Civic Build,South Africa,Port Elizabeth,NileStone Construction,EQ-6653,Bulldozer,68.2,29.3,BAD,Steel,118.48 tons,"ZAR 1,918,366.83",WestStone Materials,29173140.78,32699283.76,ZAR,paid,01/10/2025,2026-08-18,,120
ZAF 10686,Durban Freight Corridor,South Africa,Cape Town,Apex Infrastucture,EQ-3880,Grader,9.9,69.4,OK,Steel,436519kg,3327734.05,WestStone Materials,8046056.92,14802253.32,ZAR,on hold,2025/01/28 00:00,13-Oct-2025,2026-01-10,89
